node_id:ID,name
a0,"Jefferson, Thomas"
a1,"Seneca, Lucius Annaeus"
a2,"Anonymous"
a3,"Waddington, Mary King"
a4,"Tucker, George"
a5,"Dante Alighieri"
a6,"Le Fanu, Joseph Sheridan"
a7,"Lindsay, Anna Robertson Brown"
a8,"Boccaccio, Giovanni"
a9,"Hodgson, William Hope"
a10,"Hammond, S. H. (Samuel H.)"
a11,"Hayley, William"
a12,"Unknown"
a13,"Muir, John"
a14,"Various"
a15,"Bueltmann, A. J."
a16,"Longfellow, Henry Wadsworth"
a17,"Leverson, Ada"
a18,"Cross, F. J. (Frederick J.)"
a19,"Hurst, Fannie"
a20,"Brooks, Charles S. (Charles Stephen)"
a21,"Avery, Harold"
a22,"Adams, Samuel Hopkins"
a23,"Magnay, William, Sir"
a24,"Buffalo Bill"
a25,"Poe, Edgar Allan"
a26,"unknown"
a27,"Behn, Aphra"
a28,"Robins, Elizabeth"
a29,"Black, Edith Ferguson"
a30,"Cabell, James Branch"
a31,"Lee, Charles A."
a32,"Foster, John B. (John Buckingham)"
a33,"Hancock, H. Irving (Harrie Irving)"
a34,"Wood, William Charles Henry"
a35,"Buchan, John"
a36,"Murray, E. R. (Elsie Riach)"
a37,"Oliphant, Mrs. (Margaret)"
a38,"Ladue, Joseph"
a39,"Wheeler, Janet D."
a40,"Hope, Anthony"
a41,"Cary, Henry Francis"
a42,"Quigley, Edward J."
a43,"Keenan, Henry F. (Henry Francis)"
a44,"Huxley, Thomas Henry"
a45,"Farnol, Jeffery"
a46,"Beck, James M. (James Montgomery)"
a47,"Baum, L. Frank (Lyman Frank)"
a48,"Brand, Max"
a49,"Towne, Elizabeth"
a50,"Planta, Joseph"
a51,"Moxon, Elizabeth"
a52,"Edwardes, S. M. (Stephen Meredyth)"
a53,"Greever, Garland"
a54,"Keller, Arthur Ignatius"
a55,"Wilson, Epiphanius"
a56,"Johnson, Douglas Wilson"
a57,"Smith, Venture"
a58,"Eggleston, Edward"
a59,"Blatch, Harriot Stanton"
a60,"Bindloss, Harold"
a61,"Stevenson, Burton Egbert"
a62,"Hayes, Clair W. (Clair Wallace)"
a63,"Otis, James"
a64,"Green, Anna Katharine"
a65,"Oxonian"
a66,"Forsslund, Louise"
a67,"Watson, John R. (John Reay)"
a68,"Hoskins, Gayle Porter"
a69,"Basset, René"
a70,"Mackenzie, Donald A. (Donald Alexander)"
a71,"Nitti, Francesco Saverio"
a72,"MacDonald, George"
a73,"Garnett, Richard"
a74,"Murray, Gilbert"
a75,"Carpenter, Edward"
a76,"Massey, W. T. (William Thomas)"
a77,"Roosevelt, Theodore"
a78,"Sterling, Bruce"
a79,"Nichol, John"
a80,"Hudson, W. H. (William Henry)"
a81,"Le Queux, William"
a82,"Johnson, Rossiter"
a83,"Dalton, Hugh Dalton, Baron"
a84,"Marquand, John P. (John Phillips)"
a85,"Tracy, Louis"
a86,"Sweetser, Kate Dickinson"
a87,"Fiske, John"
