node_id:ID,filename,authID,name,release_date
b0,"1.txt",0,"The Declaration of Independence of the United States of America",1971-12-01
b1,"10001.txt",1,"Apocolocyntosis",2003-11-01
b2,"10000.txt",2,"The Magna Carta",2006-03-01
b3,"10003.txt",3,"My First Years as a Frenchwoman, 1876-1879",2003-11-01
b4,"10005.txt",4,"A Voyage to the Moon&#13; With Some Account of the Manners and Customs, Science and Philosophy, of the People of Morosofia, and Other Lunarians",2003-11-01
b5,"1001.txt",5,"Divine Comedy, Longfellow's Translation, Hell",1997-08-01
b6,"10007.txt",6,"Carmilla",2003-11-01
b7,"10004.txt",7,"The Warriors",2003-11-01
b8,"10006.txt",8,"La Fiammetta",2003-11-01
b9,"10002.txt",9,"The House on the Borderland",2003-11-01
b10,"10009.txt",10,"Wild Northern Scenes&#13; Or, Sporting Adventures with the Rifle and the Rod",2003-11-01
b11,"10010.txt",11,"The Eulogies of Howard: A Vision",2003-11-01
b12,"10011.txt",12,"365 Foreign Dishes&#13; A Foreign Dish for Every Day in the Year",2003-11-01
b13,"10012.txt",13,"The Mountains of California",2003-11-01
b14,"10013.txt",14,"Punchinello, Volume 1, No. 09, May 28, 1870",2003-11-01
b15,"10015.txt",14,"Punchinello, Volume 1, No. 19, August 6, 1870",2003-11-01
b16,"10016.txt",14,"Punchinello, Volume 1, No. 21, August 20, 1870",2003-11-01
b17,"10014.txt",14,"Punchinello, Volume 1, No. 18, July 30, 1870",2003-11-01
b18,"10017.txt",14,"Punchinello, Volume 1, No. 23,  September 3, 1870",2003-11-01
b19,"10018.txt",14,"Punchinello, Volume 1, No. 05,  April 30, 1870",2003-11-01
b20,"10019.txt",14,"Punchinello, Volume 1, No. 22, August 27, 1870",2003-11-01
b21,"10022",15,"White Queen of the Cannibals: the Story of Mary Slessor of Calabar",2003-11-01
b22,"1002.txt",16,"Divine Comedy, Longfellow's Translation, Purgatory",1997-08-01
b23,"10021.txt",17,"Tenterhooks",2003-11-01
b24,"10024.txt",18,"Beneath the Banner: Being Narratives of Noble Lives and Brave Deeds",2003-11-01
b25,"10025.txt",19,"Gaslight Sonatas",2003-11-01
b26,"10026.txt",14,"The Mirror of Literature, Amusement, and Instruction&#13; Volume 10, No. 268, August 11, 1827",2003-10-09
b27,"10023.txt",20,"There's Pippins and Cheese to Come",2003-11-01
b28,"10027.txt",21,"The Triple Alliance, Its Trials and Triumphs",2003-11-01
b29,"10008.txt",22,"The Mystery",2003-11-01
b30,"1003.txt",16,"Divine Comedy, Longfellow's Translation, Paradise",1997-08-01
b31,"10029.txt",23,"The Hunt Ball Mystery",2003-11-01
b32,"10030.txt",24,"The Life of Hon. William F. Cody, Known as Buffalo Bill, the Famous Hunter, Scout and Guide&#13; An Autobiography",2003-11-01
b33,"10031.txt",25,"The Complete Poetical Works of Edgar Allan Poe&#13; Including Essays on Poetry",2003-11-01
b34,"10033.txt",14,"Punchinello, Volume 1, No. 25, September 17, 1870",2003-11-01
b35,"10034.txt",14,"Punchinello, Volume 1, No. 26, September 24, 1870",2003-11-01
b36,"10035.txt",14,"Punchinello, Volume 2, No. 27, October 1, 1870",2003-11-01
b37,"10036.txt",14,"Punchinello, Volume 2, No. 28, October 8, 1870",2003-11-01
b38,"10020.txt",14,"The Strand Magazine: Vol. 07, Issue 37, January, 1894.&#13; An Illustrated Monthly",2003-11-01
b39,"10.txt",26,"The King James Version of the Bible",1989-08-01
b40,"1004.txt",16,"Divine Comedy, Longfellow's Translation, Complete",1997-08-01
b41,"10039.txt",27,"The Works of Aphra Behn, Volume III",2003-11-01
b42,"10038.txt",28,"The Magnetic North",2003-11-01
b43,"10037.txt",29,"A Beautiful Possibility",2003-11-01
b44,"10041.txt",30,"The Rivet in Grandfather's Neck: A Comedy of Limitations",2003-11-01
b45,"10032.txt",14,"Punchinello, Volume 1, No. 24, September 10, 1870",2003-11-01
b46,"10040.txt",31,"Aleutian Indian and English Dictionary&#13; Common Words in the Dialects of the Aleutian Indian Language as Spoken by the Oogashik, Egashik, Anangashuk and Misremie Tribes Around Sulima River and Neighboring Parts of the Alaska Peninsula",2003-11-01
b47,"10028.txt",32,"Spalding's Official Baseball Guide - 1913",2003-10-12
b48,"10045.txt",33,"Dave Darrin's Second Year at Annapolis Or, Two Midshipmen as Naval Academy 'Youngsters'",2003-11-01
b49,"10044",34,"The Father of British Canada: a Chronicle of Carleton",2003-11-01
b50,"10046.txt",35,"Salute to Adventurers",2003-11-01
b51,"10047.txt",14,"Punchinello, Volume 2, No. 29, October 15, 1870",2003-11-01
b52,"10042.txt",36,"The Child under Eight",2003-11-01
b53,"1005.txt",5,"Divine Comedy, Cary's Translation, Hell",2004-08-07
b54,"10052.txt",37,"The Open Door, and the Portrait. Stories of the Seen and the Unseen.",2003-11-01
b55,"10043.txt",38,"Klondyke Nuggets A Brief Description of the Great Gold Regions in the Northwest",2003-11-01
b56,"10049.txt",37,"Old Lady Mary: A Story of the Seen and the Unseen",2003-11-01
b57,"10051.txt",37,"The Little Pilgrim: Further Experiences. Stories of the Seen and the Unseen.",2003-11-01
b58,"10050.txt",37,"A Little Pilgrim: Stories of the Seen and the Unseen",2003-11-01
b59,"10048.txt",39,"Billie Bradley and Her Inheritance; Or, The Queer Homestead at Cherry Corners",2003-11-01
b60,"10057",40,"The Secret of the Tower",2003-11-01
b61,"1006.txt",41,"Divine Comedy, Cary's Translation, Purgatory",2004-08-06
b62,"10058",42,"The Divine Office&#13; A Study of the Roman Breviary",2003-11-01
b63,"10062.txt",43,"The Iron Game A Tale of the War",2003-11-01
b64,"10060.txt",44,"Discourses: Biological &amp; Geological&#13; Essays",2003-11-01
b65,"10064.txt",45,"Beltane the Smith",2003-11-01
b66,"10065.txt",46,"The Constitution of the United States A Brief Study of the Genesis, Formulation and Political Philosophy of the Constitution",2003-11-01
b67,"10059.txt",47,"Aunt Jane's Nieces on Vacation",2003-11-01
b68,"10066",48,"Gunman's Reckoning",2003-11-01
b69,"10063.txt",49,"Happiness and Marriage",2003-11-01
b70,"10069.txt",50,"Account of the Romansh Language In a Letter to Sir John Pringle, Bart. P. R. S.",2003-11-01
b71,"10072.txt",51,"English Housewifery&#13; Exemplified in above Four Hundred and Fifty Receipts Giving Directions for most Parts of Cookery",2003-11-01
b72,"1007.txt",5,"Divine Comedy, Cary's Translation, Paradise",2004-08-02
b73,"10071.txt",52,"By-Ways of Bombay",2003-11-01
b74,"10073.txt",53,"The Century Vocabulary Builder",2003-11-01
b75,"10068.txt",54,"The Power and the Glory",2003-11-01
b76,"10056.txt",55,"Chinese Literature Comprising the Analects of Confucius, the Sayings of Mencius, the Shi-King, the Travels of Fâ-Hien, and the Sorrows of Han",2003-11-01
b77,"10078.txt",56,"Plain Words from America: A Letter to a German Professor (1917)",2003-11-01
b78,"10075.txt",57,"A Narrative of the Life and Adventures of Venture, a Native of Africa, but Resident above Sixty Years in the United States of America, Related by Himself",2003-11-01
b79,"10070.txt",58,"Stories of Great Americans for Little Americans",2003-11-01
b80,"10077.txt",14,"The Atlantic Monthly, Volume 10, No. 60, October, 1862&#13; A Magazine of Literature, Art, and Politics",2003-11-01
b81,"10074.txt",14,"The Mirror of Literature, Amusement, and Instruction&#13; Volume 10, No. 269, August 18, 1827",2003-10-13
b82,"10079.txt",14,"The Atlantic Monthly, Volume 02, No. 09, July, 1858&#13; A Magazine of Literature, Art, and Politics",2003-11-01
b83,"10080.txt",59,"Mobilizing Woman-Power",2003-11-01
b84,"10076.txt",60,"Lister's Great Adventure",2003-11-01
b85,"10067.txt",61,"The Mystery of the Boule Cabinet: A Detective Story",2003-11-01
b86,"10081.txt",62,"The Boy Allies at Jutland; Or, The Greatest Naval Battle of History",2003-11-01
b87,"1008.txt",5,"Divine Comedy, Cary's Translation, Complete",1997-08-01
b88,"10086.txt",63,"The Minute Boys of the Mohawk Valley",2003-11-01
b89,"10083.txt",64,"The House of the Whispering Pines",2003-11-01
b90,"10088.txt",65,"Thaumaturgia; Or, Elucidations of the Marvellous",2003-11-01
b91,"10087.txt",66,"Old Lady Number 31",2003-11-01
b92,"10082.txt",67,"The Hampstead Mystery",2003-11-01
b93,"10084.txt",68,"Kazan",2003-11-01
b94,"10085",69,"Moorish Literature&#13; Comprising Romantic Ballads, Tales of the Berbers, Stories of the Kabyles, Folk-Lore, and National Traditions",2003-11-01
b95,"10089.txt",70,"Elves and Heroes",2003-11-01
b96,"10090.txt",71,"Peaceless Europe",2003-11-01
b98,"10091",14,"Punchinello, Volume 2, No. 31, October 29, 1870",2003-11-01
b99,"10093.txt",72,"Gutta-Percha Willie&#13; The Working Genius",2003-11-01
b97,"10092",14,"Punchinello, Volume 2, No. 30, October 22, 1870",2003-11-01
b100,"10094.txt",61,"A Soldier of Virginia: A Tale of Colonel Washington and Braddock's Defeat",2003-11-01
b101,"10095.txt",73,"The Twilight of the Gods, and Other Tales",2003-11-01
b102,"10096",74,"The Trojan women of Euripides",2003-11-01
b103,"10097",75,"The Healing of Nations and the Hidden Sources of Their Strife",2003-11-01
b104,"10098",76,"How Jerusalem Was Won Being the Record of Allenby's Campaign in Palestine",2003-11-01
b105,"10099",77,"Towards the Goal",2003-11-01
b106,"101.txt",78,"The Hacker Crackdown: Law and Disorder on the Electronic Frontier",1994-01-01
b107,"10100.txt",79,"Byron",2003-11-01
b108,"10101",80,"A Little Boy Lost",2003-11-01
b109,"10102",81,"The Czar's Spy: The Mystery of a Silent Love",2003-11-01
b110,"10104.txt",14,"Punchinello, Volume 2, No. 32,  November 5, 1870",2003-11-01
b111,"10103",82,"The Great Events by Famous Historians, Volume 08&#13; The Later Renaissance: from Gutenberg to the Reformation",2003-11-01
b112,"10106",14,"Punchinello, Volume 2, No. 34, November 19, 1870",2003-11-01
b113,"10105",14,"Punchinello, Volume 2, No. 33, November 12, 1870",2003-11-01
b114,"10107",83,"With British Guns in Italy: A Tribute to Italian Achievement",2003-11-01
b115,"10108.txt",2,"A Treatise of Daunses, Wherin It is Shewed, That They Are as It Were Accessories and Dependants (Or Thynges Annexed) to Whoredome&#13; Where Also by the Way is Touched and Proued, That Playes Are Ioyned and Knit Togeather in a Rancke or Rowe with Them (1581)",2003-11-01
b116,"10109.txt",84,"The Unspeakable Gentleman",2003-11-01
b117,"10110.txt",85,"The Postmaster's Daughter",2003-11-01
b118,"10111.txt",86,"Boys and Girls from Thackeray",2003-11-01
b119,"10112",87,"American Political Ideas Viewed from the Standpoint of Universal History",2003-11-01
b120,"10114.txt",82,"The Great Events by Famous Historians, Volume 02&#13; (From the Rise of Greece to the Christian Era)",2003-11-01
b121,"10116.txt",88,"All Saints' Day and Other Sermons",2003-11-01
b122,"10118",89,"The Folk-lore of Plants",2003-11-01
b123,"10119",90,"Adonais",2003-11-01
b124,"10120",91,"England of My Heart : Spring",2003-11-01
b125,"10121.txt",55,"The Literature of Arabia&#13; With Critical and Biographical Sketches by Epiphanius Wilson",2003-11-01
b126,"10122.txt",92,"Fairies and Fusiliers",2003-11-01
b127,"10123.txt",47,"Aunt Jane's Nieces",2003-11-01
b128,"10124.txt",47,"Aunt Jane's Nieces and Uncle John",2003-11-01
b129,"10125",93,"The Best Letters of Charles Lamb",2003-11-01
b130,"10126.txt",94,"Home-Life of the Lancashire Factory Folk during the Cotton Famine",2003-11-01
b131,"10127.txt",95,"Abducted to Oz",2003-11-01
b132,"10128",96,"The Great Events by Famous Historians, Volume 17",2003-11-01
b133,"10129",14,"Excellent Women",2003-11-01
b134,"1013.txt",97,"The First Men in the Moon",2004-10-20
b135,"10130",98,"The Works of Charles and Mary Lamb — Volume 3&#13; Books for Children",2003-11-01
b136,"10131",2,"Required Poems for Reading and Memorizing Third and Fourth Grades, Prescribed by State Courses of Study",2003-11-01
b137,"10132",99,"The Sowers",2003-11-01
b138,"10133",100,"The Vigil of Venus and Other Poems by 'Q'",2003-11-01
b139,"10134.txt",101,"John Wesley, Jr. The Story of an Experiment",2003-11-01
b140,"10135.txt",102,"The Great English Short-Story Writers, Volume 1",2003-11-01
b141,"10136.txt",103,"The Book of Household Management",2003-11-01
b142,"10138.txt",14,"The Atlantic Monthly, Volume 01, No. 02, December, 1857&#13; A Magazine of Literature, Art, and Politics",2003-11-01
b143,"10139.txt",104,"The Faith of the Millions (2nd series)",2003-11-01
b144,"1014.txt",105,"The Lure of the Dim Trails",1997-08-01
b145,"10141.txt",106,"A Discourse on the Life, Character and Writings of Gulian Crommelin Verplanck&#13; Delivered before the New-York Historical Society, May 17th, 1870",2003-11-01
b146,"10142",107,"Maezli A Story of the Swiss Valleys",2003-11-01
b147,"10143",14,"Punch, or the London Charivari, Volume 153, July 11, 1917",2003-11-01
b148,"10144",14,"Punchinello, Volume 2, No. 35, November 26, 1870",2003-11-01
b149,"10145.txt",108,"Turkey: a Past and a Future",2003-11-01
b150,"10146.txt",109,"Reminiscences of Pioneer Days in St. Paul&#13; A Collection of Articles Written for and Published in the Daily Pioneer Press",2003-11-01
b151,"10147.txt",110,"America's War for Humanity",2003-11-01
b152,"10148.txt",111,"The Merry Adventures of Robin Hood",2003-11-01
b153,"10149.txt",112,"Home as Found&#13; Sequel to 'Homeward Bound'",2003-11-01
b154,"1015.txt",113,"The Oregon Trail: Sketches of Prairie and Rocky-Mountain Life",2006-04-27
b155,"10150.txt",114,"Dracula's Guest",2003-11-01
b156,"10151.txt",115,"The Great Events by Famous Historians, Volume 05&#13; (From Charlemagne to Frederick Barbarossa)",2003-11-01
b157,"10159",116,"England and the War",2003-11-01
b158,"1016.txt",117,"On the Improvement of the Understanding",1997-08-01
b159,"10161",118,"English Poets of the Eighteenth Century",2003-11-01
b160,"10162",119,"Dio's Rome, Volume 3&#13; An Historical Narrative Originally Composed in Greek During The Reigns of Septimius Severus, Geta and Caracalla, Macrinus, Elagabalus and Alexander Severus",2003-11-01
b161,"10163",120,"Mohammedanism&#13; Lectures on Its Origin, Its Religious and Political Growth, and Its Present State",2003-11-01
b162,"10164.txt",121,"The Black Creek Stopping-House, and Other Stories",2003-11-01
b163,"10165.txt",122,"Across the Zodiac&#13; The Story of a Wrecked Record",2003-11-01
b164,"10166.txt",123,"What Germany Thinks&#13; Or, The War as Germans see it",2003-11-01
b165,"1019.txt",124,"Poems by Currer, Ellis, and Acton Bell",1997-08-01
b166,"102.txt",125,"The Tragedy of Pudd'nhead Wilson",2004-09-14
b167,"1020.txt",126,"Sword Blades and Poppy Seed",1997-08-01
b168,"10201.txt",127,"The Desert of Wheat",2003-11-01
b169,"10202",128,"Maria Mitchell: Life, Letters, and Journals",2003-11-01
b170,"1021.txt",129,"The Congo, and Other Poems",1997-08-01
