node_id:ID,name
0,"Jefferson, Thomas"
1,"Seneca, Lucius Annaeus"
2,"Anonymous"
3,"Waddington, Mary King"
4,"Tucker, George"
5,"Dante Alighieri"
6,"Le Fanu, Joseph Sheridan"
7,"Lindsay, Anna Robertson Brown"
8,"Boccaccio, Giovanni"
9,"Hodgson, William Hope"
10,"Hammond, S. H. (Samuel H.)"
11,"Hayley, William"
12,"Unknown"
13,"Muir, John"
14,"Various"
15,"Bueltmann, A. J."
16,"Longfellow, Henry Wadsworth"
17,"Leverson, Ada"
18,"Cross, F. J. (Frederick J.)"
19,"Hurst, Fannie"
20,"Brooks, Charles S. (Charles Stephen)"
21,"Avery, Harold"
22,"Adams, Samuel Hopkins"
23,"Magnay, William, Sir"
24,"Buffalo Bill"
25,"Poe, Edgar Allan"
26,"unknown"
27,"Behn, Aphra"
28,"Robins, Elizabeth"
29,"Black, Edith Ferguson"
30,"Cabell, James Branch"
31,"Lee, Charles A."
32,"Foster, John B. (John Buckingham)"
33,"Hancock, H. Irving (Harrie Irving)"
34,"Wood, William Charles Henry"
35,"Buchan, John"
36,"Murray, E. R. (Elsie Riach)"
37,"Oliphant, Mrs. (Margaret)"
38,"Ladue, Joseph"
39,"Wheeler, Janet D."
40,"Hope, Anthony"
41,"Cary, Henry Francis"
42,"Quigley, Edward J."
43,"Keenan, Henry F. (Henry Francis)"
44,"Huxley, Thomas Henry"
45,"Farnol, Jeffery"
46,"Beck, James M. (James Montgomery)"
47,"Baum, L. Frank (Lyman Frank)"
48,"Brand, Max"
49,"Towne, Elizabeth"
50,"Planta, Joseph"
51,"Moxon, Elizabeth"
52,"Edwardes, S. M. (Stephen Meredyth)"
53,"Greever, Garland"
54,"Keller, Arthur Ignatius"
55,"Wilson, Epiphanius"
56,"Johnson, Douglas Wilson"
57,"Smith, Venture"
58,"Eggleston, Edward"
59,"Blatch, Harriot Stanton"
60,"Bindloss, Harold"
61,"Stevenson, Burton Egbert"
62,"Hayes, Clair W. (Clair Wallace)"
63,"Otis, James"
64,"Green, Anna Katharine"
65,"Oxonian"
66,"Forsslund, Louise"
67,"Watson, John R. (John Reay)"
68,"Hoskins, Gayle Porter"
69,"Basset, René"
70,"Mackenzie, Donald A. (Donald Alexander)"
71,"Nitti, Francesco Saverio"
72,"MacDonald, George"
73,"Garnett, Richard"
74,"Murray, Gilbert"
75,"Carpenter, Edward"
76,"Massey, W. T. (William Thomas)"
77,"Roosevelt, Theodore"
78,"Sterling, Bruce"
79,"Nichol, John"
80,"Hudson, W. H. (William Henry)"
81,"Le Queux, William"
82,"Johnson, Rossiter"
83,"Dalton, Hugh Dalton, Baron"
84,"Marquand, John P. (John Phillips)"
85,"Tracy, Louis"
86,"Sweetser, Kate Dickinson"
87,"Fiske, John"
88,"Kingsley, Charles"
89,"Dyer, T. F. Thiselton (Thomas Firminger Thiselton)"
